wifi_spot_id,review_id,user_id,review_comment,review_create_date_time,review_overall_classification
9282a34e-6dfe-4764-bdf1-312086f4056b,582070c8-4d77-4f05-b2c1-2bcd4896127d,d0d325a1-c660-4a20-b5cd-cbef325dd834,Quod perferendis fugiat.,2025-04-19 02:25:16,1
eadd59e4-05c8-4cff-bf09-1034e77e02c2,1df48ebc-109c-4f5d-9111-bb1b0830a0ff,d0d325a1-c660-4a20-b5cd-cbef325dd834,Molestias enim veniam.,2021-11-29 21:24:22,5
a2fc8524-d4be-42ef-bf52-b0a3b0c12d25,3b14fab3-e7a6-4b8f-b20d-b3cf1d416dc1,d0d325a1-c660-4a20-b5cd-cbef325dd834,Qui deserunt accusantium.,2024-02-21 17:39:02,2
8d0dcda9-a296-411c-9804-6e5c4917a511,be88b200-fdd0-4ce8-9323-a3c0fc883274,d0d325a1-c660-4a20-b5cd-cbef325dd834,Molestiae non consectetur perferendis ducimus.,2021-09-01 02:06:39,1
459dc12d-15e7-4b2f-8646-ec45cdfaaa61,04098149-e5ac-4565-9dbf-5c647190b219,d0d325a1-c660-4a20-b5cd-cbef325dd834,Voluptas distinctio ipsa itaque.,2020-01-04 08:38:56,3
42b6bd10-9645-4900-92bc-26f4b60596ef,1ec8ebe6-e79b-4d48-b495-b4bc06c53226,d0d325a1-c660-4a20-b5cd-cbef325dd834,Quo tempora pariatur iste soluta.,2022-09-18 14:25:47,4
f3127f5b-3f33-4e58-8e1a-922921ab6267,4e8d3c15-7a3b-4d70-83a0-b75e406bc59b,d0d325a1-c660-4a20-b5cd-cbef325dd834,Ipsum perferendis ipsum.,2025-03-14 01:29:35,2
87155e38-06fe-48ca-be40-c64dcf048089,7b98169f-0dfe-489c-b423-7f8b3db8968a,d0d325a1-c660-4a20-b5cd-cbef325dd834,Veniam blanditiis et amet.,2024-06-07 14:02:50,3
46fabb19-36b5-4e8e-b5b0-fcadc0c6b9ab,c58924d9-81cf-4414-b5a1-4164a820ffe6,d0d325a1-c660-4a20-b5cd-cbef325dd834,Placeat odit eligendi.,2023-06-22 16:49:34,2
b2d97ed1-1867-4207-8556-68dd576c7515,ab423b18-b843-4c15-a247-3e3fb18d59de,d0d325a1-c660-4a20-b5cd-cbef325dd834,Modi excepturi adipisci non.,2020-07-29 05:40:32,2
504a304a-269f-4a6a-861a-ed13a30a4267,c2ee5e5e-81cb-4ece-9dac-e4077d8a2313,d0d325a1-c660-4a20-b5cd-cbef325dd834,Perspiciatis modi voluptates nisi.,2022-08-11 01:29:55,1
658fa3dd-eedc-4a29-9df6-3e6760abd411,8fe4251e-69a0-474b-a730-a9fdf6421c2e,d0d325a1-c660-4a20-b5cd-cbef325dd834,Molestias sunt aspernatur impedit.,2022-09-24 06:26:03,5
60db51db-04ca-46a8-9c86-99c0efe89581,a211b6fe-bee7-4334-a5b6-fadf052f59cc,d0d325a1-c660-4a20-b5cd-cbef325dd834,Illum totam magnam qui.,2022-06-10 11:58:05,5
2250fc9d-4d3f-49b6-b5c2-a9c6978221a6,ce8d2a46-e2b4-4cfb-a9d4-b2fbcc99927d,d0d325a1-c660-4a20-b5cd-cbef325dd834,Est officia hic aliquam placeat.,2024-03-29 06:00:44,5
8be67432-5e5b-4f52-90ce-0994b660365b,6db60c31-a269-41b8-8279-9bbee4c8d04b,d0d325a1-c660-4a20-b5cd-cbef325dd834,Beatae ex officiis magnam officia.,2020-11-11 23:57:43,4
108bbc50-a94a-4e1d-a87d-0793450b3a38,10c51b9c-9ac3-4971-8a17-bb46e80ea03d,d0d325a1-c660-4a20-b5cd-cbef325dd834,Quaerat quae corporis ipsam modi deserunt.,2024-03-06 04:30:48,5
