review_id,attribute_name,attribute_value
582070c8-4d77-4f05-b2c1-2bcd4896127d,wifi_speed,medium
582070c8-4d77-4f05-b2c1-2bcd4896127d,cleanliness,medium
1df48ebc-109c-4f5d-9111-bb1b0830a0ff,service,high
1df48ebc-109c-4f5d-9111-bb1b0830a0ff,comfort,low
1df48ebc-109c-4f5d-9111-bb1b0830a0ff,wifi_speed,high
3b14fab3-e7a6-4b8f-b20d-b3cf1d416dc1,wifi_speed,high
3b14fab3-e7a6-4b8f-b20d-b3cf1d416dc1,ambience,high
3b14fab3-e7a6-4b8f-b20d-b3cf1d416dc1,service,low
3b14fab3-e7a6-4b8f-b20d-b3cf1d416dc1,comfort,low
be88b200-fdd0-4ce8-9323-a3c0fc883274,wifi_speed,high
be88b200-fdd0-4ce8-9323-a3c0fc883274,comfort,medium
be88b200-fdd0-4ce8-9323-a3c0fc883274,ambience,high
04098149-e5ac-4565-9dbf-5c647190b219,wifi_speed,low
04098149-e5ac-4565-9dbf-5c647190b219,service,high
04098149-e5ac-4565-9dbf-5c647190b219,ambience,high
1ec8ebe6-e79b-4d48-b495-b4bc06c53226,ambience,high
1ec8ebe6-e79b-4d48-b495-b4bc06c53226,cleanliness,low
1ec8ebe6-e79b-4d48-b495-b4bc06c53226,service,low
4e8d3c15-7a3b-4d70-83a0-b75e406bc59b,ambience,high
4e8d3c15-7a3b-4d70-83a0-b75e406bc59b,wifi_speed,high
4e8d3c15-7a3b-4d70-83a0-b75e406bc59b,cleanliness,high
4e8d3c15-7a3b-4d70-83a0-b75e406bc59b,service,low
4e8d3c15-7a3b-4d70-83a0-b75e406bc59b,comfort,low
7b98169f-0dfe-489c-b423-7f8b3db8968a,wifi_speed,high
7b98169f-0dfe-489c-b423-7f8b3db8968a,ambience,medium
7b98169f-0dfe-489c-b423-7f8b3db8968a,service,high
7b98169f-0dfe-489c-b423-7f8b3db8968a,cleanliness,high
c58924d9-81cf-4414-b5a1-4164a820ffe6,cleanliness,high
c58924d9-81cf-4414-b5a1-4164a820ffe6,comfort,medium
c58924d9-81cf-4414-b5a1-4164a820ffe6,service,low
c58924d9-81cf-4414-b5a1-4164a820ffe6,ambience,high
ab423b18-b843-4c15-a247-3e3fb18d59de,wifi_speed,low
ab423b18-b843-4c15-a247-3e3fb18d59de,cleanliness,medium
c2ee5e5e-81cb-4ece-9dac-e4077d8a2313,service,high
c2ee5e5e-81cb-4ece-9dac-e4077d8a2313,wifi_speed,high
8fe4251e-69a0-474b-a730-a9fdf6421c2e,service,high
8fe4251e-69a0-474b-a730-a9fdf6421c2e,wifi_speed,high
8fe4251e-69a0-474b-a730-a9fdf6421c2e,ambience,low
8fe4251e-69a0-474b-a730-a9fdf6421c2e,comfort,low
a211b6fe-bee7-4334-a5b6-fadf052f59cc,ambience,medium
a211b6fe-bee7-4334-a5b6-fadf052f59cc,service,low
a211b6fe-bee7-4334-a5b6-fadf052f59cc,cleanliness,high
a211b6fe-bee7-4334-a5b6-fadf052f59cc,comfort,high
ce8d2a46-e2b4-4cfb-a9d4-b2fbcc99927d,comfort,medium
ce8d2a46-e2b4-4cfb-a9d4-b2fbcc99927d,ambience,medium
ce8d2a46-e2b4-4cfb-a9d4-b2fbcc99927d,cleanliness,low
6db60c31-a269-41b8-8279-9bbee4c8d04b,service,high
6db60c31-a269-41b8-8279-9bbee4c8d04b,wifi_speed,high
10c51b9c-9ac3-4971-8a17-bb46e80ea03d,wifi_speed,medium
10c51b9c-9ac3-4971-8a17-bb46e80ea03d,cleanliness,medium
21ef01df-1c26-4367-8d9b-945add027557,wifi_speed,low
21ef01df-1c26-4367-8d9b-945add027557,comfort,medium
21ef01df-1c26-4367-8d9b-945add027557,ambience,high
e8ede42d-4499-44e6-a803-9fce22c8ae04,service,low
e8ede42d-4499-44e6-a803-9fce22c8ae04,wifi_speed,high
e8ede42d-4499-44e6-a803-9fce22c8ae04,ambience,medium
