wifi_spot_id,wifi_spot_name,wifi_spot_latitude,wifi_spot_longitude,wifi_spot_description,wifi_spot_air_conditioning,wifi_spot_child_friendly,wifi_spot_covered_area,wifi_spot_crowded,wifi_spot_disabled_access,wifi_spot_good_view,wifi_spot_noise_level,wifi_spot_signal_strength,wifi_spot_wifi_quality,wifi_spot_bandwidth_limitations,wifi_spot_location_type,wifi_spot_management,wifi_spot_available_power_outlets,wifi_spot_charging_stations,wifi_spot_pet_friendly,wifi_spot_food_options,wifi_spot_drink_options,wifi_spot_restrooms_available,wifi_spot_parking_availability,wifi_spot_user_id,wifi_spot_create_date_time,wifi_spot_address_line_1,wifi_spot_address_line_2,wifi_spot_address_city,wifi_spot_address_district,wifi_spot_address_country,wifi_spot_address_zip_code
9282a34e-6dfe-4764-bdf1-312086f4056b,Ramos Lda.,16.9333065,115.469205,Consectetur asperiores natus saepe ex ea.,False,False,False,True,False,True,3,1,2,True,3,1,False,True,False,True,False,True,False,d0d325a1-c660-4a20-b5cd-cbef325dd834,2023-01-09 11:06:07,Praça Ana Moura, S/N,,Lagoa,Portalegre,Roménia,6534-355
eadd59e4-05c8-4cff-bf09-1034e77e02c2,Freitas,67.6167895,-130.332286,Quos aliquam necessitatibus.,False,True,False,True,True,False,1,2,1,True,6,2,False,True,False,True,True,True,True,d0d325a1-c660-4a20-b5cd-cbef325dd834,2023-07-25 09:57:38,Alameda Ivo Gaspar, 15,,Loulé,Aveiro,Marrocos,3066-868
a2fc8524-d4be-42ef-bf52-b0a3b0c12d25,Pereira,-22.758466,125.151187,Dolorum beatae veritatis.,False,True,False,True,True,False,1,1,2,True,4,1,True,False,True,False,True,True,False,d0d325a1-c660-4a20-b5cd-cbef325dd834,2024-07-16 22:58:41,Alameda de Santa Clara, 94,,Lagoa,Leiria,Marrocos,0434-735
8d0dcda9-a296-411c-9804-6e5c4917a511,Nascimento,-41.559713,91.479039,Quis veniam architecto nulla.,True,True,False,False,False,True,1,1,1,False,5,1,False,True,True,False,False,False,False,d0d325a1-c660-4a20-b5cd-cbef325dd834,2022-07-08 15:49:37,Avenida Rita Figueiredo, 988,,Tondela,Vila Real,Iraque,9729-307
459dc12d-15e7-4b2f-8646-ec45cdfaaa61,Alves,56.858435,-23.204514,Exercitationem autem nulla dolorem.,False,False,False,False,True,False,3,0,1,False,1,2,False,True,True,False,False,True,False,d0d325a1-c660-4a20-b5cd-cbef325dd834,2020-01-08 14:05:46,Rua Assunção, 95,,Porto,Vila Real,Dhekelia,3366-155
42b6bd10-9645-4900-92bc-26f4b60596ef,Neto e Filhos,-48.5795225,65.142771,Eligendi nesciunt iusto.,True,True,False,True,True,False,0,1,1,False,0,0,True,True,True,True,True,True,True,d0d325a1-c660-4a20-b5cd-cbef325dd834,2021-01-18 09:19:09,Largo Neto, 7,,Torres Novas,Leiria,Chipre,7898-860
f3127f5b-3f33-4e58-8e1a-922921ab6267,Borges Baptista S.A.,23.829022,-142.109301,Nemo numquam vel.,True,False,False,False,False,False,0,2,1,True,2,2,True,False,True,True,False,True,True,d0d325a1-c660-4a20-b5cd-cbef325dd834,2024-09-26 12:39:43,Rua Gerais, 25,,Lourosa,Aveiro,Suécia,7549-082
87155e38-06fe-48ca-be40-c64dcf048089,Castro,-32.593675,-158.425616,Inventore sequi asperiores voluptatum nam.,True,False,False,False,False,True,3,0,2,False,3,1,False,True,False,False,False,False,False,d0d325a1-c660-4a20-b5cd-cbef325dd834,2024-08-22 06:49:20,Praça Renato Faria, 94,,Beja,Évora,Akrotiri,5042-634
46fabb19-36b5-4e8e-b5b0-fcadc0c6b9ab,Azevedo,-43.283179,47.353333,Nobis facilis voluptatum commodi.,True,True,False,False,False,True,2,1,1,True,4,1,True,False,True,False,False,False,True,d0d325a1-c660-4a20-b5cd-cbef325dd834,2022-01-05 03:57:15,Rua Carolina Loureiro, 45,,Póvoa de Varzim,Lisboa,Butão,7958-104
b2d97ed1-1867-4207-8556-68dd576c7515,Neto,-42.2968395,172.084801,Ipsum ducimus hic.,True,True,True,True,True,False,2,1,1,False,5,2,True,True,False,True,True,False,False,d0d325a1-c660-4a20-b5cd-cbef325dd834,2023-08-29 01:03:55,Avenida Martins, 47,,Estremoz,Coimbra,Nova Caledónia,6447-929
504a304a-269f-4a6a-861a-ed13a30a4267,Branco,77.8631375,-49.133634,Odio quia velit iusto.,False,False,True,False,True,False,1,0,1,False,0,0,False,False,True,True,False,False,False,d0d325a1-c660-4a20-b5cd-cbef325dd834,2020-06-16 04:41:37,Avenida de Amorim, 537,,Barreiro,Santarém,Bermudas,4730-168
658fa3dd-eedc-4a29-9df6-3e6760abd411,Neves Pires S.A.,31.668569,146.986131,Architecto molestias corrupti id.,False,True,True,False,False,True,1,0,0,False,6,1,False,False,False,True,False,False,False,d0d325a1-c660-4a20-b5cd-cbef325dd834,2020-05-30 18:43:33,Praça de Leite, 9,,Seixal,Lisboa,Mundo,7131-491
60db51db-04ca-46a8-9c86-99c0efe89581,Martins,41.067242,-155.509624,Vitae vero adipisci deserunt expedita.,True,False,False,True,True,True,0,0,2,True,5,0,True,False,False,True,False,True,True,d0d325a1-c660-4a20-b5cd-cbef325dd834,2023-01-21 20:31:44,Alameda de Neves, 276,,Valongo,Santarém,Uruguai,1923-269
2250fc9d-4d3f-49b6-b5c2-a9c6978221a6,Pinto,88.0863205,109.597700,Quia at fuga quaerat.,True,False,True,True,True,True,1,0,0,True,4,2,False,False,False,True,False,True,False,d0d325a1-c660-4a20-b5cd-cbef325dd834,2021-06-30 03:33:33,Avenida Henrique Lima, 767,,Lixa,Portalegre,Samoa Americana,3134-811
8be67432-5e5b-4f52-90ce-0994b660365b,Gaspar,48.5817895,94.697278,Facere doloribus quas tenetur blanditiis tempora.,False,True,False,True,False,False,3,0,1,False,1,1,True,False,True,False,False,True,False,d0d325a1-c660-4a20-b5cd-cbef325dd834,2021-09-15 21:26:57,Avenida de Neves, S/N,,Lagos,Guarda,Iraque,1794-280
108bbc50-a94a-4e1d-a87d-0793450b3a38,Guerreiro Pinheiro S/A,1.4792705,-91.681551,Facere ullam expedita eveniet ut.,False,True,True,False,True,True,0,0,0,False,6,1,False,False,False,True,False,False,False,d0d325a1-c660-4a20-b5cd-cbef325dd834,2021-02-13 14:45:31,Praça Santos, 5,,Serpa,Castelo Branco,Estónia,3254-056
b040c7bd-b171-4180-bf26-505fa6bcfce1,Vaz S/A,52.240338,17.643602,Accusantium beatae molestias sapiente totam iste.,True,False,True,False,False,False,1,1,2,True,3,2,True,False,True,True,True,True,False,d0d325a1-c660-4a20-b5cd-cbef325dd834,2021-10-12 15:53:27,Av Lourenço, 89,,Valongo,Guarda,Antárctida,4889-667
646e368e-99c2-48ad-8be7-e1bb09062cef,Magalhães,-58.332754,-153.182506,Ullam a quaerat rem cum placeat.,False,True,False,True,True,False,2,0,1,True,6,2,False,False,False,True,True,False,False,d0d325a1-c660-4a20-b5cd-cbef325dd834,2024-12-10 14:54:40,Travessa Camila Gonçalves, 48,,Reguengos de Monsaraz,Santarém,Fiji,6191-004
7a0cf721-e073-4284-99cc-7f934e1bd810,Branco Abreu S/A,11.124886,6.902077,Quaerat enim modi beatae consectetur.,False,False,False,False,False,True,2,1,2,True,4,2,True,False,True,False,False,True,False,d0d325a1-c660-4a20-b5cd-cbef325dd834,2024-03-24 18:34:15,R. Brito, 45,,Beja,Braga,Dhekelia,4191-858
53f09db6-d031-448c-8350-cb4a69eb570a,Carneiro,34.748724,-85.375374,Ratione minima minus nostrum.,False,False,True,False,False,True,2,2,2,False,4,2,False,True,True,False,False,False,False,d0d325a1-c660-4a20-b5cd-cbef325dd834,2021-03-18 16:32:18,Avenida da Galega, 77,,Gouveia,Castelo Branco,Antárctida,4292-273
00b58320-0977-479e-b33d-3074b7795a28,Mendes,46.8551775,-74.296569,Quisquam adipisci ratione itaque nobis neque.,False,False,False,True,False,False,3,0,2,False,3,2,True,True,False,True,True,True,True,d0d325a1-c660-4a20-b5cd-cbef325dd834,2020-01-29 16:32:52,Largo de Simões, S/N,,Santarém,Santarém,Países Baixos,1689-918
0b272701-414e-4307-89e0-7bb04244eea3,Melo,39.6321845,127.449501,Ea ut maiores.,True,False,False,False,False,True,1,1,1,False,1,0,False,True,True,True,False,True,True,d0d325a1-c660-4a20-b5cd-cbef325dd834,2024-01-23 02:58:38,Travessa Isabela Sousa, 1,,Ourém,Vila Real,Birmânia,2049-750
85936a97-f653-4971-8757-18653f8c00ea,Castro Correia S.A.,86.672465,-115.527604,A dicta autem saepe optio.,True,False,True,True,True,True,3,0,1,True,0,2,True,True,False,False,True,True,True,d0d325a1-c660-4a20-b5cd-cbef325dd834,2022-01-26 21:29:34,Alameda Lima, 38,,Tondela,Beja,Canadá,9814-105
