user_id,visit_id,wifi_spot_id,wifi_spot_name,wifi_spot_location,visit_start,visit_end
d0d325a1-c660-4a20-b5cd-cbef325dd834,a577a9eb-f1fc-41cf-b7df-48142f9598b6,9282a34e-6dfe-4764-bdf1-312086f4056b,Oliveira Fernandes e Filhos,Fátima, Taiwan,2021-12-31 23:06:04,2022-01-01 01:06:04
d0d325a1-c660-4a20-b5cd-cbef325dd834,b0101f84-e195-4c58-a02e-b2c5a2144f53,9282a34e-6dfe-4764-bdf1-312086f4056b,Oliveira Fernandes e Filhos,Fátima, Taiwan,2022-05-05 07:03:21,2022-05-05 11:03:21
d0d325a1-c660-4a20-b5cd-cbef325dd834,bf617fa9-7d58-4376-89c5-27aa623a3cd4,9282a34e-6dfe-4764-bdf1-312086f4056b,Oliveira Fernandes e Filhos,Fátima, Taiwan,2022-02-12 01:04:25,2022-02-12 03:04:25
d0d325a1-c660-4a20-b5cd-cbef325dd834,3a62e927-80aa-4966-ad8e-0a5882dd8de8,9282a34e-6dfe-4764-bdf1-312086f4056b,Oliveira Fernandes e Filhos,Fátima, Taiwan,2022-10-23 16:38:04,2022-10-23 20:38:04
d0d325a1-c660-4a20-b5cd-cbef325dd834,f2680ca3-6357-4f0b-89c5-5c09c712fdd3,9282a34e-6dfe-4764-bdf1-312086f4056b,Oliveira Fernandes e Filhos,Fátima, Taiwan,2022-01-19 06:51:23,2022-01-19 11:51:23
d0d325a1-c660-4a20-b5cd-cbef325dd834,f059caee-a61f-4b67-b475-bb5d6ba8797b,9282a34e-6dfe-4764-bdf1-312086f4056b,Oliveira Fernandes e Filhos,Fátima, Taiwan,2023-08-09 05:39:32,2023-08-09 10:39:32
d0d325a1-c660-4a20-b5cd-cbef325dd834,a7d564ca-246b-4e13-bc97-69353e7953b2,9282a34e-6dfe-4764-bdf1-312086f4056b,Oliveira Fernandes e Filhos,Fátima, Taiwan,2020-04-06 23:01:34,2020-04-07 01:01:34
d0d325a1-c660-4a20-b5cd-cbef325dd834,125eef87-e9dd-46e5-84b6-d2b5b58af60b,9282a34e-6dfe-4764-bdf1-312086f4056b,Oliveira Fernandes e Filhos,Fátima, Taiwan,2020-10-24 13:48:51,2020-10-24 16:48:51
d0d325a1-c660-4a20-b5cd-cbef325dd834,05a1dae6-41c3-4600-a3c0-aa3b63260e8d,9282a34e-6dfe-4764-bdf1-312086f4056b,Oliveira Fernandes e Filhos,Fátima, Taiwan,2022-10-18 21:26:04,2022-10-18 22:26:04
d0d325a1-c660-4a20-b5cd-cbef325dd834,3d29e9bb-f7ae-453e-9406-9f0615eaead4,9282a34e-6dfe-4764-bdf1-312086f4056b,Oliveira Fernandes e Filhos,Fátima, Taiwan,2023-09-16 08:51:43,2023-09-16 09:51:43
d0d325a1-c660-4a20-b5cd-cbef325dd834,b400e248-fcec-4359-aa22-9da65835fbcb,eadd59e4-05c8-4cff-bf09-1034e77e02c2,Maia Borges Lda.,Póvoa de Varzim, Barém,2020-01-20 08:40:43,2020-01-20 09:40:43
d0d325a1-c660-4a20-b5cd-cbef325dd834,0b04ee28-bc5e-4e25-9304-595a5c6b56cc,eadd59e4-05c8-4cff-bf09-1034e77e02c2,Maia Borges Lda.,Póvoa de Varzim, Barém,2024-07-31 10:35:35,2024-07-31 13:35:35
d0d325a1-c660-4a20-b5cd-cbef325dd834,9b65409e-dce3-44a7-ae7a-f095164ac062,eadd59e4-05c8-4cff-bf09-1034e77e02c2,Maia Borges Lda.,Póvoa de Varzim, Barém,2023-11-05 16:47:00,2023-11-05 21:47:00
d0d325a1-c660-4a20-b5cd-cbef325dd834,76d1579f-65ab-4687-9353-9b77feb20c89,eadd59e4-05c8-4cff-bf09-1034e77e02c2,Maia Borges Lda.,Póvoa de Varzim, Barém,2022-03-02 07:10:09,2022-03-02 12:10:09
d0d325a1-c660-4a20-b5cd-cbef325dd834,22d72652-3ced-423a-9433-25539810c99a,eadd59e4-05c8-4cff-bf09-1034e77e02c2,Maia Borges Lda.,Póvoa de Varzim, Barém,2023-03-12 19:42:22,2023-03-12 20:42:22
d0d325a1-c660-4a20-b5cd-cbef325dd834,957ca948-1b14-4bd6-a820-546b608dc08a,eadd59e4-05c8-4cff-bf09-1034e77e02c2,Maia Borges Lda.,Póvoa de Varzim, Barém,2020-10-01 09:19:59,2020-10-01 10:19:59
d0d325a1-c660-4a20-b5cd-cbef325dd834,d0b48ceb-f7ba-48ab-9ece-fbdf4a7ad017,eadd59e4-05c8-4cff-bf09-1034e77e02c2,Maia Borges Lda.,Póvoa de Varzim, Barém,2021-01-15 21:25:54,2021-01-15 22:25:54
d0d325a1-c660-4a20-b5cd-cbef325dd834,8b43f79f-5f49-4f22-8bf1-04a22207d2f7,a2fc8524-d4be-42ef-bf52-b0a3b0c12d25,Matias,Penafiel, Irlanda,2020-01-22 04:38:38,2020-01-22 05:38:38
