wifi_spot_id,wifi_spot_name,wifi_spot_latitude,wifi_spot_longitude,wifi_spot_description,wifi_spot_air_conditioning,wifi_spot_child_friendly,wifi_spot_covered_area,wifi_spot_crowded,wifi_spot_disabled_access,wifi_spot_good_view,wifi_spot_noise_level,wifi_spot_signal_strength,wifi_spot_wifi_quality,wifi_spot_bandwidth_limitations,wifi_spot_location_type,wifi_spot_management,wifi_spot_available_power_outlets,wifi_spot_charging_stations,wifi_spot_pet_friendly,wifi_spot_food_options,wifi_spot_drink_options,wifi_spot_restrooms_available,wifi_spot_parking_availability,wifi_spot_user_id,wifi_spot_create_date_time,wifi_spot_address_line_1,wifi_spot_address_line_2,wifi_spot_address_city,wifi_spot_address_district,wifi_spot_address_country,wifi_spot_address_zip_code
dfa026de-4b33-4a76-95f6-fb09d289c342,Monteiro Guerreiro Lda.,21.6728595,-43.149196,Inventore quos ad recusandae debitis.,False,True,True,False,False,True,1,2,0,False,2,1,False,False,False,False,False,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2022-05-12 22:21:46,Alameda Central, S/N,,Rio Tinto,Setúbal,Maurícia,4320-430
1bc0bfdf-018a-4461-87b0-2963615ea80a,Vaz,7.5952565,35.880557,Eveniet ullam autem error autem.,False,False,False,True,False,False,2,1,0,True,6,2,True,True,False,True,False,False,True,519f7e20-093f-4cd3-8f7d-864650019f02,2025-02-26 15:03:14,Avenida de Barbosa, 14,,Portalegre,Castelo Branco,Guiné-Bissau,2242-946
309c4f62-3c84-425c-b4e7-9f1f0c096336,Azevedo,86.434437,110.893829,Dicta expedita expedita id est tempore.,True,True,False,False,False,True,2,0,0,False,2,1,False,True,True,True,False,False,True,519f7e20-093f-4cd3-8f7d-864650019f02,2024-08-15 13:34:16,Alameda Domingues, S/N,,Amora,Leiria,Países Baixos,9540-938
5b71f721-1acd-4624-b16d-a1b13a5787f5,Paiva Alves Lda.,-31.699388,-102.322316,Sequi dolore reiciendis sunt harum nesciunt sint.,True,True,True,False,True,False,0,2,2,False,3,2,True,False,True,True,False,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2025-04-01 13:20:21,Travessa Gabriela Magalhães, 61,,Póvoa de Varzim,Porto,Indonésia,9839-343
647277ca-b001-4530-9c5b-6698aa25ddd5,Sá Mota e Filhos,-48.402756,-118.845901,Corporis at quia magni eum maxime illo.,True,False,True,False,False,False,2,0,1,True,1,2,True,False,True,True,True,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2022-03-07 21:29:50,Travessa do Prof. Hernâni Monteiro, 88,,Vila Nova de Santo André,Aveiro,Somália,6584-495
127109b0-ded2-4560-b787-aa006296a545,Magalhães e Filhos,0.9545465,-89.474029,Voluptatem itaque at numquam iure nihil.,False,False,True,False,False,False,0,0,2,True,4,0,True,False,False,True,True,False,True,519f7e20-093f-4cd3-8f7d-864650019f02,2024-08-22 15:11:39,Rua Vítor Neto, 365,,Évora,Vila Real,Finlândia,8740-627
e89bb3a1-c81f-4d2e-ac5d-2b0f0cc363c0,Baptista e Filhos,-37.178348,-95.084137,Molestias iure nemo amet at laboriosam ut unde.,False,True,True,False,False,False,1,1,2,True,1,1,True,True,False,True,True,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2025-02-01 19:03:31,Alameda de Carrilho Videira, 31,,São Salvador de Lordelo,Évora,Barbados,1359-538
90034602-8483-4b03-8784-a0d773138415,Baptista Lda.,25.9103875,0.171545,Aliquid sint facilis consequuntur.,False,False,False,False,True,True,0,0,1,True,5,2,True,True,True,False,True,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2022-10-01 06:42:33,Praça Fábio Sousa, 59,,Mangualde,Bragança,Irão,9127-665
b685ca14-63af-4d2c-85cb-0f80c3dd8282,Barros Garcia S.A.,-58.7107825,89.966724,Architecto porro unde nostrum in ex.,True,True,True,True,True,True,1,1,2,True,0,1,False,True,False,True,True,False,True,519f7e20-093f-4cd3-8f7d-864650019f02,2020-12-20 00:41:30,Alameda Prof. Francisco Caldeira Cabral, 94,,Reguengos de Monsaraz,Leiria,Nova Zelândia,0787-608
d383e084-c9bd-4d33-aa6b-156167a0281b,Assunção,88.2354105,-88.751277,Quaerat incidunt quibusdam maiores atque maxime.,True,False,True,True,True,False,1,0,0,False,4,2,False,False,False,True,True,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2021-05-06 16:55:10,Travessa de Matos, 99,,Gouveia,Castelo Branco,Bósnia e Herzegovina,6241-607
90fc1aa1-a7cc-4d10-97f7-788b329f7b3e,Figueiredo,31.214854,-88.517350,Dolores porro temporibus iure molestiae.,True,True,False,False,True,False,2,0,2,True,4,2,False,True,False,True,True,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2024-05-19 01:47:25,Travessa Brito, 6,,Santa Maria da Feira,Santarém,Burúndi,9503-094
be021c49-9236-4094-8ab8-9b9a1690e0ab,Branco e Filhos,65.9458685,85.870494,Fugit alias quisquam iure vitae modi.,False,False,True,True,True,False,1,0,0,True,2,2,True,False,True,True,True,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2024-12-16 04:47:02,Av Gomes, 810,,Leiria,Castelo Branco,Tokelau,2085-967
e45635f6-39de-4923-b2ee-beb9e2f8408d,Branco S/A,-11.2635575,-6.242334,Debitis dolores enim enim id voluptas.,False,True,False,True,True,True,3,2,1,True,4,0,False,False,False,True,False,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2021-11-22 21:24:29,Praça de Branco, 88,,Marinha Grande,Portalegre,Wallis e Futuna,9686-409
4bfe489f-20c8-416b-9bea-e01f6db0d7b8,Macedo,0.6782495,159.713152,Ex doloremque nobis occaecati mollitia.,True,True,False,False,False,True,1,2,1,True,6,0,True,True,True,False,True,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2023-11-14 22:48:39,R. de Vasco da Gama, 4,,Odivelas,Bragança,Coreia do Norte,2387-153
3849a96b-cf15-41f0-a050-a2c319a7bcf0,Guerreiro Lda.,30.2463735,145.638578,Occaecati iure voluptates exercitationem quos.,False,True,True,False,True,True,0,0,1,True,0,2,True,True,False,True,True,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2022-09-15 19:08:13,Travessa de Chaves de Oliveira, 489,,Tavira,Coimbra,Ilhas Turcas e Caicos,1886-379
76dbd96d-45d4-4cef-89fb-85d5ece1ce40,Moreira Guerreiro e Filhos,-6.6770265,103.029095,Mollitia deleniti suscipit aut.,True,True,True,True,True,True,0,0,0,True,6,1,False,False,True,True,False,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2020-08-27 22:10:36,Largo do Tronco, S/N,,Estarreja,Évora,Territórios Austrais Franceses,1695-514
f711481c-786f-44c8-b847-02bf1e7146b5,Gonçalves Lda.,82.361675,-55.232120,Fuga alias vel unde esse tenetur.,True,False,True,False,False,True,2,0,0,False,0,0,True,True,False,True,True,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2020-09-29 01:07:30,Av Loureiro, 9,,Vila do Conde,Porto,Samoa,5908-495
727629b0-ce3f-491c-8a8f-1e6f9a34115c,Baptista S/A,8.0187415,-100.083487,A doloremque neque saepe recusandae.,True,True,True,True,True,True,2,1,0,False,0,0,False,False,True,False,False,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2021-01-13 03:38:34,Praça Letícia Lopes, 208,,Braga,Porto,Sri Lanca,1626-954
0ec17469-05a3-4535-8f2f-69280c7c328c,Gaspar Amorim Lda.,-9.3000555,-145.870042,Mollitia deserunt placeat quae.,False,True,True,True,False,False,0,0,2,True,3,1,True,False,False,False,False,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2020-01-07 15:17:34,Alameda Renata Esteves, S/N,,Alcobaça,Viseu,Fiji,9874-530
b55da8eb-4f00-4da4-899b-97f799e1ea09,Almeida,-2.157531,-14.081124,Tempora eaque cum itaque odit rem.,False,True,False,False,True,False,0,0,2,True,5,1,False,True,True,False,True,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2023-08-29 03:08:03,Largo de Fernandes, 12,,Trancoso,Setúbal,Suazilândia,1341-339
9f2f14c0-e7d0-46dd-9bdf-b74427c0677f,Loureiro,36.4966125,-72.956762,Assumenda nulla asperiores.,False,True,True,False,True,False,1,1,2,True,6,1,True,False,False,False,True,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2022-05-22 23:02:01,Largo República da Colômbia, 42,,Caniço,Porto,Território Britânico do Oceano Índico,6987-056
170bb31c-db0d-4905-81e0-8f09d6ba79ef,Fonseca,63.974930,-123.826424,Repellat sint ipsam dignissimos aliquam.,True,False,True,True,False,False,0,1,0,True,3,2,False,False,True,False,False,False,True,519f7e20-093f-4cd3-8f7d-864650019f02,2024-11-01 22:15:03,Rua Ferreira, S/N,,São João da Madeira,Setúbal,Guiné-Bissau,2164-005
838a6f28-061a-4fa2-be90-65b466653623,Carneiro S/A,32.3543355,-14.324900,Eum hic rerum numquam laborum.,True,False,False,True,False,False,1,2,0,False,0,0,True,True,True,False,True,True,True,519f7e20-093f-4cd3-8f7d-864650019f02,2022-06-07 18:40:03,Av de Soares, 9,,Fafe,Évora,Ilha Norfolk,5754-370
a3258142-bb8a-4224-9b96-5a00f80dd956,Leal,-28.0885755,80.251943,Itaque nam quidem odit voluptatum sequi.,True,False,False,False,False,True,3,1,2,False,6,2,True,True,True,True,True,True,False,519f7e20-093f-4cd3-8f7d-864650019f02,2020-10-26 22:30:14,Travessa dos Fenícios, S/N,,Lagoa,Santarém,Botsuana,7316-686
1cdc11d3-de55-449a-87d5-9ec49dd52cf5,Soares,85.879168,57.266508,Deleniti corrupti fugiat itaque error.,True,False,True,False,False,True,0,0,2,False,3,2,False,False,False,True,True,False,True,519f7e20-093f-4cd3-8f7d-864650019f02,2023-02-02 21:44:30,Largo Fábio Martins, 952,,Santa Cruz,Leiria,Southern Ocean,6430-333
ac0ff8f5-9580-4fac-9df0-685fea22abed,Rocha,25.5434795,-126.431957,At alias atque molestiae.,True,True,False,True,False,False,1,1,0,False,0,0,True,False,True,False,True,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2022-04-01 23:18:16,R. Esteves, 32,,Valbom,Vila Real,Clipperton Island,9012-307
510c18f9-4529-4699-92b3-559074a7c2f0,Costa S/A,-15.4834215,-94.693950,Ullam alias nesciunt modi minima iusto explicabo.,True,True,True,False,True,False,0,2,0,False,0,0,True,False,True,True,False,False,False,519f7e20-093f-4cd3-8f7d-864650019f02,2022-05-06 01:44:50,Largo de Coelho, 53,,Elvas,Beja,Vaticano,1239-223
