user_id,visit_id,wifi_spot_id,wifi_spot_name,wifi_spot_location,visit_start,visit_end
d0d325a1-c660-4a20-b5cd-cbef325dd834,86c02f42-20ab-4fdc-8877-feca6ecd9c4d,e1f34413-d9e2-4c28-8671-0ee8718f0c21,Moreira S/A,Oliveira de Azeméis, Azerbaijão,2024-02-25 09:02:28,2024-02-25 10:02:28
d0d325a1-c660-4a20-b5cd-cbef325dd834,242a8e5e-b8c9-4c95-841e-21a5323bc2b6,e1f34413-d9e2-4c28-8671-0ee8718f0c21,Moreira S/A,Oliveira de Azeméis, Azerbaijão,2021-12-22 06:10:52,2021-12-22 09:10:52
d0d325a1-c660-4a20-b5cd-cbef325dd834,ea8fb047-b4bb-4d7a-a22e-695d40d759c8,e1f34413-d9e2-4c28-8671-0ee8718f0c21,Moreira S/A,Oliveira de Azeméis, Azerbaijão,2020-12-24 14:11:04,2020-12-24 17:11:04
d0d325a1-c660-4a20-b5cd-cbef325dd834,b0623ce5-9b42-47eb-b885-fa72e63f9e9a,e1f34413-d9e2-4c28-8671-0ee8718f0c21,Moreira S/A,Oliveira de Azeméis, Azerbaijão,2022-08-20 14:12:20,2022-08-20 19:12:20
d0d325a1-c660-4a20-b5cd-cbef325dd834,24264afc-2f65-46cf-b972-292219930215,e1f34413-d9e2-4c28-8671-0ee8718f0c21,Moreira S/A,Oliveira de Azeméis, Azerbaijão,2023-12-04 02:31:08,2023-12-04 06:31:08
d0d325a1-c660-4a20-b5cd-cbef325dd834,b373e9a3-e1c9-42e6-8574-ae467941686d,e1f34413-d9e2-4c28-8671-0ee8718f0c21,Moreira S/A,Oliveira de Azeméis, Azerbaijão,2021-02-02 13:09:28,2021-02-02 18:09:28
d0d325a1-c660-4a20-b5cd-cbef325dd834,c972cb8b-5f26-4ff3-b6c9-a077ea8978bd,e1f34413-d9e2-4c28-8671-0ee8718f0c21,Moreira S/A,Oliveira de Azeméis, Azerbaijão,2024-07-31 05:43:10,2024-07-31 07:43:10
d0d325a1-c660-4a20-b5cd-cbef325dd834,c5bbc4bd-520f-4d9f-a03d-b83ba4e64fce,e1f34413-d9e2-4c28-8671-0ee8718f0c21,Moreira S/A,Oliveira de Azeméis, Azerbaijão,2020-03-28 03:20:42,2020-03-28 06:20:42
d0d325a1-c660-4a20-b5cd-cbef325dd834,a2adecdb-3b23-4a73-815b-8aeb3ba0a2d3,e1f34413-d9e2-4c28-8671-0ee8718f0c21,Moreira S/A,Oliveira de Azeméis, Azerbaijão,2024-11-24 07:24:31,2024-11-24 08:24:31
d0d325a1-c660-4a20-b5cd-cbef325dd834,1120c924-23e6-4c92-90f0-713a282ccdc3,e1f34413-d9e2-4c28-8671-0ee8718f0c21,Moreira S/A,Oliveira de Azeméis, Azerbaijão,2022-10-16 02:46:11,2022-10-16 04:46:11
