review_id,review_attribute_classification_name,review_attribute_classification_value
94b9ee1e-3384-4a88-b1e0-440401741986,ambience,medium
94b9ee1e-3384-4a88-b1e0-440401741986,service,low
94b9ee1e-3384-4a88-b1e0-440401741986,cleanliness,medium
e5c7f4de-97ab-4870-9501-b50d227e6f02,comfort,low
e5c7f4de-97ab-4870-9501-b50d227e6f02,cleanliness,low
e5c7f4de-97ab-4870-9501-b50d227e6f02,ambience,low
e5c7f4de-97ab-4870-9501-b50d227e6f02,wifi_speed,high
e5c7f4de-97ab-4870-9501-b50d227e6f02,service,high
08e6986f-430c-4e23-a899-e30a934c106d,service,high
08e6986f-430c-4e23-a899-e30a934c106d,ambience,high
b62d9a43-117b-4115-9727-69a717be2764,wifi_speed,medium
b62d9a43-117b-4115-9727-69a717be2764,ambience,medium
b62d9a43-117b-4115-9727-69a717be2764,cleanliness,high
b62d9a43-117b-4115-9727-69a717be2764,comfort,medium
2dc8dd10-4f00-4ebb-8d35-274a678af32d,cleanliness,high
2dc8dd10-4f00-4ebb-8d35-274a678af32d,wifi_speed,medium
b4d81d62-bd72-4899-9c6f-7703e256df9e,service,medium
b4d81d62-bd72-4899-9c6f-7703e256df9e,comfort,medium
b4d81d62-bd72-4899-9c6f-7703e256df9e,cleanliness,medium
5e68f151-ff50-4325-ac9d-4780818ee739,service,high
5e68f151-ff50-4325-ac9d-4780818ee739,comfort,medium
5e68f151-ff50-4325-ac9d-4780818ee739,ambience,low
29ace69a-fa38-4790-96dd-e914ab899c41,cleanliness,medium
29ace69a-fa38-4790-96dd-e914ab899c41,service,high
29ace69a-fa38-4790-96dd-e914ab899c41,wifi_speed,medium
29ace69a-fa38-4790-96dd-e914ab899c41,comfort,high
3f021966-68a6-4aa6-a1a7-bbe0a1ec4ef0,cleanliness,low
3f021966-68a6-4aa6-a1a7-bbe0a1ec4ef0,comfort,medium
ecc26a88-83b7-4597-a37b-ea3ee2b7c454,service,medium
ecc26a88-83b7-4597-a37b-ea3ee2b7c454,cleanliness,low
ecc26a88-83b7-4597-a37b-ea3ee2b7c454,comfort,high
b3efa5b9-3896-470f-91ad-4a9c0970900a,cleanliness,medium
