wifi_spot_id,wifi_spot_user_id,wifi_spot_name,wifi_spot_description,wifi_spot_latitude,wifi_spot_longitude,wifi_spot_create_date_time,wifi_spot_air_conditioning,wifi_spot_child_friendly,wifi_spot_covered_area,wifi_spot_crowded,wifi_spot_disabled_access,wifi_spot_good_view,wifi_spot_noise_level,wifi_spot_outdoor_seating,wifi_spot_pet_friendly,wifi_spot_available_power_outlets,wifi_spot_charging_stations,wifi_spot_drink_options,wifi_spot_food_options,wifi_spot_parking_availability,wifi_spot_restrooms_available,wifi_spot_location_type,wifi_spot_management,wifi_spot_bandwith_limitations,start_time,end_time,wifi_spot_signal_strength,wifi_spot_wifi_quality,wifi_spot_heated_in_winter,wifi_spot_open_during_heat,wifi_spot_open_during_rain,wifi_spot_outdoor_fans,wifi_spot_shaded_areas,wifi_spot_address_id
6703f4e7-203f-40fb-9ea5-7fc180c6c999,d0d325a1-c660-4a20-b5cd-cbef325dd834,"Costa e Filhos","Inventore soluta officiis reprehenderit vitae esse. Natus sequi ipsam non eaque quasi.",0.343649,40.475282,2021-02-22 03:42:18,0,1,0,0,0,0,3,1,1,0,0,1,0,1,1,4,2,0,04:40:42,18:45:56,1,0,0,1,0,1,0,809ee981-e941-4b1a-b32c-186c8aee5f52
6807522a-76fb-4bfe-b5e3-75381a6832fd,d0d325a1-c660-4a20-b5cd-cbef325dd834,"Reis e Filhos","Enim maiores quae possimus provident. Qui itaque nulla porro quos.",-46.7946145,166.185057,2022-08-31 07:20:41,1,1,0,1,0,1,2,0,1,1,0,1,1,0,1,2,0,1,13:56:38,00:39:05,1,1,1,0,0,0,1,5300b64c-a991-4ec2-8141-7cab2b00f7c5
8dae3069-d724-4918-97ca-0c245dd28937,d0d325a1-c660-4a20-b5cd-cbef325dd834,"Barros e Filhos","Inventore nostrum laborum veniam officia.",43.5738955,-120.896508,2023-04-25 12:39:21,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,00:55:39,10:05:52,2,1,1,1,0,1,0,31327908-737c-4622-9cb7-eb11a2bbc01f
70f6e315-d31a-4cb2-bbfe-f2272eef5ee1,d0d325a1-c660-4a20-b5cd-cbef325dd834,"Vaz","Cumque deleniti nulla libero. Optio inventore nemo voluptatem.",24.448247,129.319469,2020-09-18 16:18:29,1,1,1,1,1,1,2,0,1,1,0,1,0,1,0,2,0,0,19:02:00,19:02:23,0,0,1,0,0,0,1,8b60963a-634b-4907-a0e1-053757abcb2f
50947f16-7f78-43ec-b617-ddef2dca41c4,d0d325a1-c660-4a20-b5cd-cbef325dd834,"Monteiro S/A","Et nulla odio delectus temporibus. Explicabo sapiente expedita fuga ex.",-72.581271,-70.347883,2023-04-21 01:05:56,1,1,0,0,1,0,2,0,1,1,0,1,1,1,0,6,2,0,15:27:54,23:13:39,0,2,1,1,1,0,1,0ec3b1b3-614a-4c48-95f7-aac7aabc653c
15d24537-b356-41f5-8203-d745effe54af,d0d325a1-c660-4a20-b5cd-cbef325dd834,"Amaral","Impedit est voluptatum. Natus magni suscipit repellat commodi.",59.8496955,134.240264,2021-05-28 06:43:54,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,3,2,1,03:55:13,16:04:07,0,2,0,0,0,1,1,3c895c3b-a630-49ae-9e35-b856f2de8cda
7f2ac558-521e-485b-af9d-1ef5ea5bb5d5,d0d325a1-c660-4a20-b5cd-cbef325dd834,"Sá","Porro tempore veritatis temporibus architecto. Dicta esse corporis.",-3.8120215,-29.767812,2024-10-10 02:13:33,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,4,0,0,19:42:51,22:48:53,1,1,1,1,0,1,1,f9553d41-9329-4b15-8d79-e1bb74234d45
40ee6d73-42c2-494a-9916-3f28ff958f2b,d0d325a1-c660-4a20-b5cd-cbef325dd834,"Neto","Maiores nihil nisi perspiciatis molestiae. Saepe ab odit incidunt.",72.0524785,-17.020240,2022-01-07 15:08:51,1,1,0,0,0,1,3,0,1,0,1,0,0,0,1,5,0,0,23:08:21,02:39:01,0,1,0,1,0,1,1,2f9db500-07ee-4036-b36c-91839d816949
a12ed164-5af2-4c5a-9ec9-5adfeb336baf,d0d325a1-c660-4a20-b5cd-cbef325dd834,"Brito Araújo S.A.","Quasi dignissimos facere cum. Rerum perspiciatis in enim reiciendis autem ducimus.",-43.631469,88.862176,2023-05-21 03:12:31,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,4,2,0,06:33:28,17:16:07,2,1,0,1,0,1,0,4b744313-e082-43e8-97ed-a9d88525ea32
7d1cc506-62c1-418a-b9a8-b7a1d4e2ee84,d0d325a1-c660-4a20-b5cd-cbef325dd834,"Ribeiro e Filhos","Libero commodi eaque. Consequuntur eaque sunt adipisci dolores fugit hic minus.",-59.3759305,-86.353658,2022-11-19 15:06:18,0,0,0,0,1,1,3,0,1,0,1,1,1,1,1,4,0,0,12:07:31,02:00:28,0,2,0,0,0,0,1,ea07479e-9542-4c0d-9184-5ed685252e43
