wifi_spot_address_id,wifi_spot_address_city,wifi_spot_address_country,wifi_spot_address_district,wifi_spot_address_line_1,wifi_spot_address_line_2,wifi_spot_address_zip_code
809ee981-e941-4b1a-b32c-186c8aee5f52,"Macedo de Cavaleiros","Santa Helena","Rio Tinto","Av José António Marques, S/N","S/N",3602-355
5300b64c-a991-4ec2-8141-7cab2b00f7c5,"Viseu","São Pedro e Miquelon","Gondomar","Avenida de Leal, S/N","S/N",8318-667
31327908-737c-4622-9cb7-eb11a2bbc01f,"Portimão","Ilha do Natal","Santa Cruz","Alameda Alves, 53","1",8969-091
8b60963a-634b-4907-a0e1-053757abcb2f,"Costa da Caparica","Paracel Islands","Estarreja","Av Batista, 66","257",0023-099
0ec3b1b3-614a-4c48-95f7-aac7aabc653c,"Santarém","Macau","Caniço","Av Mateus Torres, S/N","3",8679-706
3c895c3b-a630-49ae-9e35-b856f2de8cda,"Trofa","Camarões","Ponte de Sor","R. Grande de Cima, S/N","90",8194-226
f9553d41-9329-4b15-8d79-e1bb74234d45,"Barreiro","Santa Helena","Mangualde","Rua do Tronco, 5","4",3767-624
2f9db500-07ee-4036-b36c-91839d816949,"Mêda","Islândia","Lisboa","Avenida Laura Santos, S/N","24",8473-513
4b744313-e082-43e8-97ed-a9d88525ea32,"Gandra","Ashmore and Cartier Islands","Angra do Heroísmo","Av Pinheiro, 14","S/N",3583-827
ea07479e-9542-4c0d-9184-5ed685252e43,"Torres Novas","Gibraltar","Santarém","Av Teófilo Ferreira, 33","S/N",7595-970
f1fe15fe-359f-4843-84bf-77a8c46d3b34,"São João da Madeira","Filipinas","Olhão","Travessa Irina Soares, 12","96",0449-568
5ab3c2fd-d663-4c52-a416-3900f1206bb6,"Amadora","Mónaco","Leiria","Alameda Figueiredo, 76","14",8270-910
ec6ecdac-404e-442a-bfe6-c3aff3aea18d,"Fátima","Sérvia","Gondomar","Praça de Cunha, 31","88",2127-908
8877fa03-9c7c-457e-a57d-ef571a157701,"Évora","Gibraltar","Bragança","Av Cardoso, 99","152",0411-107
a2f0a548-a52a-4d01-ad95-af12cc0f572c,"Montijo","Gibraltar","Porto Santo","Praça Pacheco, 8","927",8232-723
7077e42c-59b1-4ac8-8831-257c1c87554c,"Viseu","Eritreia","Ílhavo","Alameda de Gonçalves, 709","361",9586-100
b4cef879-17b6-4839-9009-9298b5cd5491,"Fundão","Tajiquistão","Anadia","Largo Nádia Rocha, 19","34",9364-340
a4000494-cc25-4c78-a842-28de4fe4dbb1,"Gondomar","Singapura","Amora","R. Salomé Ribeiro, 50","2",3071-593
7bf4753b-a9bf-4333-af94-d35cb874c7cc,"Portimão","Southern Ocean","Trofa","Largo da Vila Expo, 9","S/N",2684-839
66bc2bbd-dfee-4cb0-b45b-82536eaa43f3,"Odivelas","China","Sintra","Travessa Mariana Lima, 79","501",1298-477
10b991d3-a335-4cff-9c29-30685c1d2f19,"Vila do Conde","Finlândia","Santa Comba Dão","R. Loureiro, 4","S/N",6074-387
df3a09aa-0ed9-4cb7-b855-40e9bc34c22d,"Odivelas","Nova Caledónia","Lisboa","Rua de Silva, S/N","S/N",2514-704
dec790bb-0551-4381-a22c-1999cba2ebfa,"Trancoso","Libéria","Gondomar","Avenida de Valente, 57","S/N",6445-948
45b47ede-6737-4a70-aadc-89deadc34740,"Portimão","Antilhas Neerlandesas","Santana","R. de Magalhães, 75","S/N",6439-165
bd21b384-bc33-4117-94c3-370a4cda9717,"Caniço","Marianas do Norte","Santa Maria da Feira","Travessa de Carvalho, 80","686",6717-899
2ab93505-3881-453d-99c1-859f95ddb802,"Fiães","Barbados","Santarém","Largo de Antero de Quental, 62","4",8396-801
85a60a65-2fd8-4c91-a63d-e4b7012d913b,"São Mamede de Infesta","Faroé","Tomar","Praça Assunção, S/N","S/N",7064-512
a608553c-b4dc-463c-beac-ac4ef406d95e,"Vizela","Porto Rico","Felgueiras","Praça Loureiro, S/N","170",4475-900
a1d89c7e-ffbf-4a3a-b47a-3eddf4217cfb,"Amadora","Antárctida","Santa Comba Dão","R. de Morais, 52","S/N",6289-086
85ce6c4e-72d6-4fdc-878a-70f643babcd1,"Porto","Tonga","Alcobaça","Travessa de Nova Sintra, 7","104",5859-509
2e7718eb-d266-4630-a921-5053965b0331,"Felgueiras","Navassa Island","Portalegre","Av dos Vice-reis, S/N","131",5329-369
8f81929a-157e-40ac-b031-a5ffe4e9c5bc,"Amarante","Marrocos","Serpa","Avenida Kévim Vaz, 79","33",6765-116
eb948332-9dda-4675-8251-77cf264902c0,"Tondela","Birmânia","Guimarães","Av Salomé Melo, 50","5",2912-021
7056897d-be26-4f52-843d-d961bc4fd4c3,"Macedo de Cavaleiros","Ilhas Falkland","Chaves","Rua Campos, 24","10",7019-379
0107e7a1-5336-4b03-920f-7519063f9566,"Seixal","Atlantic Ocean","Fátima","Travessa Lia Carvalho, S/N","24",2113-334
ad6ff8b2-e1e0-4f50-b4f6-aad3c91c2629,"Abrantes","Alemanha","Sintra","Praça Sousa, 900","56",0108-825
592c9151-83e9-4d8d-8585-31f40f87c343,"Seia","Etiópia","Figueira da Foz","Avenida de Magalhães, 908","42",8042-198
d16a8193-e394-4ae7-b289-09313cf6148d,"Lixa","Macau","Vila Nova de Santo André","Av Marques, 52","99",6079-589
36b05039-45a8-4f8e-b920-a66ed241f666,"Porto Santo","Paquistão","Leiria","Av de Cardoso, 680","92",1792-368
6bf62369-e4a6-4fb2-a8a3-2078e32ece5d,"Horta","Coreia do Sul","Peso da Régua","Alameda Lima, 60","8",6282-473
71cbc30d-af44-4415-a6cd-46b29ac9014a,"Torres Vedras","República Checa","Anadia","Praça Tavares, 12","S/N",9221-200
