GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
netquest-api,com.netquest.domain.review.service.impl,ReviewServiceImpl,61,0,0,0,15,0,12,0,12,0
netquest-api,com.netquest.domain.wifispot.model,WifiSpotAddressLine2,6,0,0,0,3,0,1,0,1,0
netquest-api,com.netquest.domain.wifispot.model,WifiSpotAddressLine1,5,12,2,2,1,4,2,1,0,1
netquest-api,com.netquest.domain.wifispot.model,WifiSpotEnvironmentalFeatures,5,32,1,1,1,12,1,1,0,1
netquest-api,com.netquest.domain.wifispot.model,WifiSpotQualityIndicators,15,21,3,3,3,9,3,1,0,1
netquest-api,com.netquest.domain.wifispot.model,WifiSpotAddressZipCode,5,12,2,2,1,4,2,1,0,1
netquest-api,com.netquest.domain.wifispot.model,WifiSpotAddress,24,26,0,0,9,9,1,1,1,1
netquest-api,com.netquest.domain.wifispot.model,WifiSpotName,0,17,0,4,0,5,0,3,0,1
netquest-api,com.netquest.domain.wifispot.model,WifiSpot,112,46,20,0,26,15,12,1,2,1
netquest-api,com.netquest.domain.wifispot.model,WifiSpotAddressDistrict,5,12,2,2,1,4,2,1,0,1
netquest-api,com.netquest.domain.wifispot.model,WifiSpotLocationType,5,8,1,1,1,4,1,1,0,1
netquest-api,com.netquest.domain.wifispot.model,WifiSpotId,0,12,0,0,0,6,0,2,0,2
netquest-api,com.netquest.domain.wifispot.model,WifiSpotManagement,5,8,1,1,1,4,1,1,0,1
netquest-api,com.netquest.domain.wifispot.model,WifiSpotFacilities,0,21,0,0,0,8,0,1,0,1
netquest-api,com.netquest.domain.wifispot.model,WifiSpotDescription,5,12,2,2,1,4,2,1,0,1
netquest-api,com.netquest.domain.wifispot.model,WifiSpotAddressId,6,6,0,0,3,3,1,1,1,1
netquest-api,com.netquest.domain.wifispot.model,WifiSpotAddressCity,5,12,2,2,1,4,2,1,0,1
netquest-api,com.netquest.domain.wifispot.model,WifiSpotPeakUsageInterval,9,0,0,0,4,0,1,0,1,0
netquest-api,com.netquest.domain.wifispot.model,WifiSpotAddressCountry,5,12,2,2,1,4,2,1,0,1
netquest-api,com.netquest.domain.wifispot.model,WifiSpotCreateDateTime,34,6,12,0,10,3,8,1,2,1
netquest-api,com.netquest.domain.wifispot.model,WifiSpotWeatherFeatures,0,18,0,0,0,7,0,1,0,1
netquest-api,com.netquest.domain.wifispot.model,WifiSpotCoordinates,5,15,2,2,1,5,2,1,0,1
netquest-api,com.netquest.config,SwaggerConfig,27,0,0,0,6,0,2,0,2,0
netquest-api,com.netquest.config,ErrorAttributesConfig,8,0,0,0,2,0,2,0,2,0
netquest-api,com.netquest.config,ErrorAttributesConfig.new DefaultErrorAttributes() {...},26,0,0,0,2,0,2,0,2,0
netquest-api,com.netquest.domain.pointsearntransaction.service.impl,PointsEarnTransactionServiceImpl,62,108,3,5,13,22,5,7,3,5
netquest-api,com.netquest.domain.wifispot.exception,WifiSpotNotFoundException,4,0,0,0,2,0,1,0,1,0
netquest-api,com.netquest.domain.wifispot.dto,WifiSpotAddressCreateDto,21,0,0,0,1,0,1,0,1,0
